epoch,phase,train_loss,val_loss,accuracy,precision,recall,f1,learning_rate,epoch_time
16,finetune,0.5994388856289146,0.7199694516153581,0.7025922536849976,0.8062161803245544,0.7025922536849976,0.7176594734191895,0.0001,8.34825086593628
17,finetune,0.5100715954004406,0.3423354159162396,0.8398616909980774,0.8624520897865295,0.8398616909980774,0.8447794318199158,0.0001,8.356380701065063
18,finetune,0.47532426710302084,0.3145364021571974,0.8532981276512146,0.8588535785675049,0.8532981276512146,0.849013090133667,0.0001,8.226523876190186
19,finetune,0.42439199902018787,0.25375748010711713,0.8822101354598999,0.9052582383155823,0.8822101354598999,0.8913007974624634,0.0001,8.256154298782349
20,finetune,0.38784809463087155,0.22120609871324218,0.8888294696807861,0.9060803651809692,0.8888294696807861,0.8952428102493286,0.0001,8.43489384651184
21,finetune,0.3581540853211796,0.210414142133423,0.9123446345329285,0.9151963591575623,0.9123446345329285,0.9123068451881409,0.0001,8.293741703033447
22,finetune,0.32002687762749876,0.22697543111433716,0.8918762803077698,0.8998050689697266,0.8918762803077698,0.8908191919326782,0.0001,8.65136194229126
23,finetune,0.3053060787430419,0.16272913740913122,0.9220167398452759,0.9285375475883484,0.9220167398452759,0.923728346824646,0.0001,8.55117917060852
24,finetune,0.28019327799982435,0.15537979615813433,0.936741054058075,0.933971107006073,0.936741054058075,0.9347317218780518,0.0001,8.38486385345459
25,finetune,0.27112473066617215,0.14382087155817108,0.9370943307876587,0.9409173130989075,0.9370943307876587,0.9382842183113098,0.0001,8.295592069625854
26,finetune,0.252488306358391,0.13496073666886477,0.9415404200553894,0.9414604306221008,0.9415404200553894,0.9405273795127869,0.0001,8.276836156845093
27,finetune,0.23916084135550233,0.14312674070038556,0.9335252642631531,0.9372045397758484,0.9335252642631531,0.9344536662101746,0.0001,8.3545560836792
28,finetune,0.21687223715502524,0.13800768740832592,0.9300090074539185,0.945492148399353,0.9300090074539185,0.9346423149108887,0.0001,8.352254152297974
29,finetune,0.21065446442723407,0.1554859231693084,0.922897219657898,0.9327633380889893,0.922897219657898,0.9238576889038086,0.0001,8.350422620773315
30,finetune,0.20354250689664863,0.10535531457852605,0.9482199549674988,0.949151873588562,0.9482199549674988,0.9481735229492188,0.0001,8.173396348953247
31,finetune,0.18812722358278242,0.10670730446362174,0.9511987566947937,0.9632830619812012,0.9511987566947937,0.956545889377594,0.0001,8.200287342071533
32,finetune,0.19017153847060014,0.08530867134431262,0.9619048833847046,0.9670664072036743,0.9619048833847046,0.9642718434333801,0.0001,8.185367345809937
33,finetune,0.17816287713199197,0.09172834065694795,0.9491468071937561,0.9547032117843628,0.9491468071937561,0.9502050280570984,0.0001,8.256389141082764
34,finetune,0.17018941716836675,0.08472662345478679,0.9607868194580078,0.9632156491279602,0.9607868194580078,0.9614098072052002,0.0001,8.47225046157837
35,finetune,0.1582316671814031,0.09897762611804514,0.9503905773162842,0.9612789154052734,0.9503905773162842,0.9545060396194458,0.0001,8.480260610580444
36,finetune,0.16008717867459626,0.06801091013129049,0.9728565216064453,0.9762188792228699,0.9728565216064453,0.974353015422821,0.0001,8.448978185653687
37,finetune,0.1485767322120622,0.0737394772956593,0.9667046070098877,0.9718506336212158,0.9667046070098877,0.9689821600914001,0.0001,8.392513036727905
38,finetune,0.14480942102469144,0.06406571258501795,0.9738773107528687,0.9732211232185364,0.9738773107528687,0.9731852412223816,0.0001,8.355347633361816
39,finetune,0.14601956958172735,0.05695161222926496,0.9762974977493286,0.9787521362304688,0.9762974977493286,0.9773749113082886,0.0001,8.362655401229858
40,finetune,0.13668384147389476,0.06942882059599485,0.9668170213699341,0.9678194522857666,0.9668170213699341,0.9670364260673523,0.0001,8.217573642730713
