epoch,phase,train_loss,val_loss,accuracy,precision,recall,f1,learning_rate,epoch_time
1,frozen,1.169491932255581,0.8086164849891997,0.6407273411750793,0.685154914855957,0.6407273411750793,0.582164466381073,0.001,9.073127031326294
2,frozen,0.9184874153084692,0.7736426725199348,0.6686843633651733,0.7224283218383789,0.6686843633651733,0.6397111415863037,0.001,8.0962393283844
3,frozen,0.8692319363618212,0.7411117863825016,0.6519193649291992,0.7291074395179749,0.6519193649291992,0.6409454941749573,0.001,8.089990377426147
4,frozen,0.8211449681399677,0.7572749005140442,0.6561374068260193,0.7727969884872437,0.6561374068260193,0.6601255536079407,0.001,8.386453866958618
5,frozen,0.8172326158847053,0.6316582613477582,0.7364063262939453,0.7624945640563965,0.7364063262939453,0.7192102670669556,0.001,8.680757522583008
6,frozen,0.8032835583461013,0.5566382972817672,0.7410721778869629,0.7801917791366577,0.7410721778869629,0.7298921346664429,0.001,8.145076036453247
7,frozen,0.796512763668262,0.7154757075926714,0.6814825534820557,0.7217907309532166,0.6814825534820557,0.6551554203033447,0.001,8.16489291191101
8,frozen,0.7913174818922245,0.5763186476144352,0.7256565690040588,0.7942407131195068,0.7256565690040588,0.7254255414009094,0.001,8.229106426239014
9,frozen,0.7804609849589512,0.5370891511832413,0.7467989921569824,0.8155932426452637,0.7467989921569824,0.761524498462677,0.001,8.191044569015503
10,frozen,0.783767448647957,0.6247233240293306,0.6881338357925415,0.8035707473754883,0.6881338357925415,0.703383207321167,0.001,8.13229775428772
11,frozen,0.7857038123360814,0.6346506586853873,0.7126115560531616,0.8010643720626831,0.7126115560531616,0.7102356553077698,0.001,8.197054624557495
12,frozen,0.7781224563914774,0.5565033149170248,0.7307133078575134,0.7918704152107239,0.7307133078575134,0.7289741635322571,0.001,8.243252992630005
13,frozen,0.775128538716207,0.6139477691531443,0.7217975854873657,0.8133163452148438,0.7217975854873657,0.7454819679260254,0.001,8.330486536026001
14,frozen,0.7104073090043888,0.5249651275379094,0.7505548000335693,0.828466534614563,0.7505548000335693,0.771081268787384,0.0005,8.286117553710938
15,frozen,0.6783756651148397,0.551982505148963,0.7567731142044067,0.8018181920051575,0.7567731142044067,0.7507203817367554,0.0005,8.15653109550476
